task_id,description,region,start_date,end_date,image_count,phase,export_type,timestamp,scale_m,crs,dtype,bands
5YYAZBUYPVBGGNL4HNSCFNEI,SEAS_WET_Hasdeo_North_2016,Hasdeo_North,2016-05-01,2016-10-31,1,wet_composite,drive,2026-02-20T18:46:32.200525,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
WBJTXMGTMV6D2Y7TZ7IPHMP6,SEAS_DRY_Hasdeo_North_2017,Hasdeo_North,2017-11-01,2018-04-30,12,dry_composite,drive,2026-02-20T18:46:33.742188,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
QDQJWFCTT6VDM2LMCO5NMIIN,SEAS_DRY_Hasdeo_North_2018,Hasdeo_North,2018-11-01,2019-04-30,24,dry_composite,drive,2026-02-20T18:46:35.972223,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
XCKGTQSTASZ5CH5R5S7XRG2G,SEAS_WET_Hasdeo_North_2018,Hasdeo_North,2018-05-01,2018-10-31,1,wet_composite,drive,2026-02-20T18:46:37.633623,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
PDKNLL6NLKMEGPDVMOTDMBYW,SEAS_DRY_Hasdeo_North_2019,Hasdeo_North,2019-11-01,2020-04-30,23,dry_composite,drive,2026-02-20T18:46:39.264371,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
KDDBFQFHDP5D2CMI6ST6J7YZ,SEAS_WET_Hasdeo_North_2019,Hasdeo_North,2019-05-01,2019-10-31,8,wet_composite,drive,2026-02-20T18:46:40.800833,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
NGBVRZX3PFES47RO6FKZKCRA,SEAS_DRY_Hasdeo_North_2020,Hasdeo_North,2020-11-01,2021-04-30,27,dry_composite,drive,2026-02-20T18:46:42.337470,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
SVJ22PPYLD3R6K2Q23SVQQUT,SEAS_WET_Hasdeo_North_2020,Hasdeo_North,2020-05-01,2020-10-31,7,wet_composite,drive,2026-02-20T18:46:43.916608,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
AMBJHLUZSXAIOGQUBP5WEHGO,SEAS_DRY_Hasdeo_North_2021,Hasdeo_North,2021-11-01,2022-04-30,30,dry_composite,drive,2026-02-20T18:46:45.477041,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
A77EFTAUZCT3EDOVQMWCSDNM,SEAS_WET_Hasdeo_North_2021,Hasdeo_North,2021-05-01,2021-10-31,8,wet_composite,drive,2026-02-20T18:46:47.045291,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
KHGCKNFFHDISQOAZMMZURLYN,SEAS_DRY_Hasdeo_North_2022,Hasdeo_North,2022-11-01,2023-04-30,28,dry_composite,drive,2026-02-20T18:46:48.692066,10,EPSG:32644,Float32,"B2,B3,B4,B8,B8A,B11,B12,SCL,NDVI,NDWI,NBR,EVI"
